Year,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Population,Sum of HOSP_LICBED_DAY_TOTL,Sum of ED_TRAFFIC_TOTL,Sum of EMS_NON_EMERG_VIS,Sum of EMS_REGISTERS_NO_TREAT
2017,Fresno,2.3,1.7,59,21,0.12,0.095,73,15,164,43,985238,1303780,453446,423,10142
2017,Imperial,8.1,4.5,59,12,0.12,0.082,49,12.3,424,56,181649,97820,99189,45853,374
2017,Kern,1.7,1.1,58,13,0.11,0.089,72,18.2,109,48,887356,694960,352692,12296,17747
2017,Los Angeles,5.6,3.5,83,25,0.15,0.111,53,14.9,74,33,10103711,10231413,3823574,142557,88500
2017,Madera,2.3,1,31,6,0.1,0.085,46,12.5,128,34,155423,169360,157756,0,3131
2017,Monterey,1.6,0.8,27,4,0.07,0.057,29,7.9,95,29,434534,287255,185371,13722,3447
2017,Orange,3,2.5,65,23,0.1,0.082,42,13.5,111,26,3174289,2899465,989130,71037,14545
2017,Riverside,2.2,1.8,58,15,0.14,0.109,40,14.6,251,57,2414964,1404473,882746,0,13012
2017,Sacramento,1.8,1.6,50,10,0.1,0.079,40,10.8,87,23,1527301,1265455,681835,21769,7938
2017,San Bernardino,4.1,1.6,77,32,0.15,0.114,38,14.6,156,38,2150945,2175780,899161,38586,35582
2017,San Diego,1.9,1.4,52,16,0.11,0.09,19,9.6,67,27,3321237,2885134,1108535,30257,25269
2017,San Francisco,2,1.3,59,11,0.06,0.047,35,9.7,52,21,878040,1716960,311961,142040,11256
2017,San Joaquin,2.2,1.9,52,11,0.09,0.075,47,12.2,159,29,743296,451931,324892,3383,9897
2017,Santa Barbara,2.2,1.6,27,6,0.08,0.068,40,9.4,208,30,445298,377628,177522,18410,3697
2017,Santa Clara,2.5,1.8,52,17,0.11,0.075,41,10.8,67,21,1932510,1406989,544825,35990,8513
2017,Solano,2.6,1.9,42,8,0.09,0.067,42,11.6,51,17,443511,275422,216577,28266,3211
2017,Sonoma,1.8,1.1,29,5,0.08,0.062,26,8.1,152,16,502469,686200,177244,124,4176
2017,Stanislaus,2,1.6,46,10,0.11,0.084,51,12.9,112,36,544717,578160,334673,2732,7431
2017,Sutter,0.6,0.5,42,7,0.08,0.067,32,9.3,99,21,96204,33580,0,0,0
2018,Butte,19.3,6.4,36,7,0.1,0.084,61,13.7,338,31,230339,201845,80555,0,7091
2018,Contra Costa,2,1.9,41,8,0.09,0.064,73,13.4,102,21,1150519,658312,367408,2908,7819
2018,Fresno,2.1,1.8,63,21,0.11,0.088,66,17.1,120,45,991950,1283116,347516,2211,9721
2018,Humboldt,1,0.8,21,2,0.05,0.049,30,7.7,55,18,136244,109135,56454,261,4754
2018,Imperial,5.2,3.3,64,12,0.1,0.076,30,10.4,351,60,181523,97820,85652,42715,296
2018,Kern,1.8,1.1,51,13,0.12,0.096,96,18.1,171,54,893758,672452,343008,2284,12555
2018,Los Angeles,4.4,3.1,79,22,0.13,0.102,42,13.4,90,33,10073906,9675816,3204278,78122,69901
2018,Madera,1.8,1,33,6,0.1,0.076,82,14,140,40,156882,169360,135269,0,3117
2018,Marin,1.9,1.5,46,9,0.07,0.049,74,11.1,95,18,259662,167170,68224,0,889
2018,Monterey,3.2,0.9,29,5,0.07,0.054,46,8.5,76,28,433950,287829,157593,15225,3467
